Year,Month,PercentageOfWaiting6PlusWeeks,Mortality
2008,4,2.74166697045921,37368
2008,5,2.72089835260626,32682
2008,6,2.31816878411076,36629
2008,7,2.49066776279628,39397
2008,8,2.55312908626526,36925
2008,9,1.57344626675007,50106
2008,10,1.42963945156012,51385
2008,11,1.16503384483146,38726
2008,12,1.44162164756038,39603
2009,1,1.3832811019605,37717
2009,2,0.810885101704233,34193
2009,3,0.609789688240255,36299
2009,4,0.834267782340054,35426
2009,5,0.786184694361637,31479
2009,6,0.806150176181297,36570
2009,7,0.84924015914995,37565
2009,8,0.785156621812169,37487
2009,9,0.668889259555636,42791
2009,10,0.501491727134218,45195
2009,11,0.618336886993603,38366
2009,12,1.11590594507034,42235
2010,1,1.453946078793,37975
2010,2,0.678039980143115,34163
2010,3,0.728958278687562,37530
2010,4,0.778488918152154,34380
2010,5,0.647280196828365,33775
2010,6,0.597207015117463,36842
2010,7,0.674678876963907,36159
2010,8,1.14666191776485,39409
2010,9,1.06429622625683,44988
2010,10,0.976446256398048,46835
2010,11,1.02921010901124,36733
2010,12,1.96078431372549,41342
2011,1,2.1836121416196,34521
2011,2,1.4838264418172,37437
2011,3,1.90582456870494,37398
2011,4,2.62447532741053,33275
2011,5,2.7840061451908,35924
2011,6,2.14641691910262,35893
2011,7,1.85150528377687,34740
2011,8,2.07178132643856,38020
2011,9,1.65163463251129,40744
2011,10,1.28839350840414,43882
2011,11,1.08815986284778,41861
2011,12,1.42114595807416,41299
2012,1,1.52816358716106,38928
2012,2,0.920891814659934,41087
2012,3,0.65122041048649,34303
2012,4,0.986973218861311,36657
2012,5,0.849404496089056,36435
2012,6,1.26337417243741,32934
2012,7,0.926801617469642,40394
2012,8,1.04830167757112,39330
2012,9,0.803028348285226,39669
2012,10,0.595542487002472,49492
2012,11,0.707373775508177,41002
2012,12,1.09771561288987,41915
2013,1,1.31226879712906,46352
2013,2,0.881159367601147,39475
2013,3,1.09541986422342,33503
2013,4,1.14804605156478,37260
2013,5,0.986025000071462,33322
2013,6,0.899299383038795,34350
2013,7,0.904428631960375,39585
2013,8,1.10140230790199,37322
2013,9,0.863135727873544,39974
2013,10,0.742850120559532,45929
2013,11,0.773433201199313,38566
2013,12,1.33974488584916,38573
2014,1,1.79924824246297,38729
2014,2,1.28067827447937,36880
2014,3,1.58033017816243,36058
2014,4,2.19220188818143,38512
2014,5,2.35406270122344,33640
2014,6,1.96053492708346,38339
2014,7,1.69560153942264,40201
2014,8,1.94449338013091,36967
2014,9,1.48494941077817,46481
2014,10,1.29774137723374,57034
2014,11,1.22443424887631,43727
2014,12,2.04575422113754,44809
2015,1,2.44515366368568,42286
2015,2,1.51018285237907,36713
2015,3,1.53906796333212,39289
2015,4,1.99068694289247,37916
2015,5,1.81262987541536,33823
2015,6,1.83303543216106,38876
2015,7,1.83168894175822,39458
2015,8,2.24209122803533,38883
2015,9,1.94398583494844,42495
2015,10,1.6931807500705,44387
2015,11,1.57542471003338,43033
2015,12,2.16954874080169,45308
2016,1,2.12359739964674,43755
2016,2,1.26517855697005,38716
2016,3,1.73679063456761,39378
2016,4,1.80621706817607,36484
2016,5,1.42279804665384,38006
2016,6,1.4713701296704,37742
2016,7,1.35970543678372,37835
2016,8,1.67764245334399,43523
2016,9,1.48077038595235,42624
2016,10,1.10294954239085,53675
2016,11,1.08207544508083,44815
2016,12,1.67393388121519,45594
2017,1,1.72960799958454,36422
2017,2,1.04232815571871,41383
2017,3,1.05651973747604,39447
2017,4,1.77817574233227,35940
2017,5,1.87253953908229,38341
2017,6,1.86736726371385,37535
2017,7,1.83915810158355,40745
2017,8,2.21066513080007,42690
2017,9,1.99325827696689,42295
2017,10,1.74183568871753,60075
2017,11,1.74373539944119,45918
2017,12,2.18272162980194,47726
2018,1,2.33428673699187,43478
2018,2,1.58153249979861,39951
2018,3,2.06525411014757,37213
2018,4,2.4723157100212,38059
2018,5,2.71682147005839,37610
2018,6,2.86600345653618,34682
2018,7,2.82505440283919,41466
2018,8,3.06117526230758,40971
2018,9,2.66685796027563,38710
2018,10,2.33371377138444,50385
2018,11,2.4047249039801,42847
2018,12,3.28939984370657,41117
2019,1,3.58646847480369,41167
2019,2,2.29993302192211,41504
2019,3,2.47101919861459,36180
2019,4,3.57695914850924,39614
2019,5,4.07895605899059,36271
2019,6,3.75736382027547,37462
2019,7,3.5165487426585,43257
2019,8,4.30372081458489,42280
2019,9,3.78798987262579,44286
2019,10,3.09565574382324,53045
2019,11,2.93460539822475,40806
2019,12,4.16830374327721,42434
2020,1,4.4150323640228,62032
2020,2,2.75731777089085,41133
2020,3,10.1895014006003,37640
2020,4,55.7410198248392,37608
2020,5,58.4618170397477,34501
2020,6,47.8240060864488,39164
